id_user,name,surname,mail,phone,location,dni,birth,picture
,María,Rodríguez,mariarodriguez@gmail.com,5411786918188,"San Isidro, Buenos Aires, Argentina",37326160,1995-08-20,
,Carlos,González,carlosgonzalez@gmail.com,5411261812992,"Tigre, Buenos Aires, Argentina",22471163,1988-05-03,
,Ana,López,analopez@gmail.com,5411636734544,"Pilar, Buenos Aires, Argentina",40047796,2000-02-15,
,Lucía,Martínez,luciamartinez@gmail.com,5411361189621,"Escobar, Buenos Aires, Argentina",40208734,1990-11-25,
,Pedro,Fernández,pedrofernandez@gmail.com,5411233328760,"San Fernando, Buenos Aires, Argentina",28158580,1992-09-10,
,Luis,Gómez,luisgomez@gmail.com,5411672620514,"Vicente López, Buenos Aires, Argentina",33118096,1985-04-18,
,Julieta,Pérez,julietaperez@gmail.com,5411961700084,"Olivos, Buenos Aires, Argentina",30901069,1998-07-05,
,Roberto,Sánchez,robertosanchez@gmail.com,5411606240852,"Martínez, Buenos Aires, Argentina",31839623,1982-11-08,
,Marcelo,Rojas,marcelorojas@gmail.com,5411526695281,"San Miguel, Buenos Aires, Argentina",20240964,1987-12-03,
,Mariano,López,marianolopez@gmail.com,5411789054892,"San Martín, Buenos Aires, Argentina",48756517,1983-06-17,
,Miguel,Pérez,miguelperez@gmail.com,5411311757826,"Escobar, Buenos Aires, Argentina",44400652,1993-10-22,
,Marta,García,martagarcia@gmail.com,5411020640518,"San Miguel, Buenos Aires, Argentina",44514408,1997-12-08,
,Esteban,Quiroga,estebanquiroga@gmail.com,5411571225975,"Tandil, Buenos Aires, Argentina",35849839,1994-11-08,
,Mariano,Gutierrez,marianogutierrez@gmail.com,5411606084349,"Olavarría, Buenos Aires, Argentina",21444019,1996-04-27,
,Sofía,Martinez,sofiamartinez@gmail.com,5411967877275,"Mar del Plata, Buenos Aires, Argentina",45829296,1998-02-14,
,Carla,Reynoso,carlareynoso@gmail.com,5411624017154,"Bahía Blanca, Buenos Aires, Argentina",31954004,1995-05-21,
,Rodrigo,Lopez,rodrigolopez@gmail.com,5411460498700,"Pergamino, Buenos Aires, Argentina",32847645,1997-06-30,
,Gabriel,Castro,gabrielcastro@gmail.com,5411795377155,"Necochea, Buenos Aires, Argentina",35064520,1999-01-15,
,Elena,Pereyra,elenapereyra@gmail.com,5411420245730,"Quilmes, Buenos Aires, Argentina",45924057,1999-12-05,
,Federico,Mansilla,federicomansilla@gmail.com,5411990778034,"San Nicolás, Buenos Aires, Argentina",25810841,1999-08-22,
,Julieta,Rivero,julietarivero@gmail.com,5411299114274,"Tigre, Buenos Aires, Argentina",21412409,1999-10-07,
,Agustina,Ruiz,agustinaruiz@gmail.com,5411157010791,"Merlo, Buenos Aires, Argentina",42047438,1999-04-25,
,Ignacio,Dominguez,ignaciodominguez@gmail.com,5411899497714,"Morón, Buenos Aires, Argentina",44701308,1999-09-15,
,Matías,Gonzalez,matiasgonzalez@gmail.com,5411411039578,"Lanús, Buenos Aires, Argentina",46922011,1999-03-18,
,Valentina,Torres,valentinatorres@gmail.com,5411878739991,"La Matanza, Buenos Aires, Argentina",23402568,1999-07-19,
,Lucas,Gimenez,lucasgimenez@gmail.com,5411947930656,"Avellaneda, Buenos Aires, Argentina",26180249,1999-11-23,
,Nicolás,Martinez,nicolasmartinez@gmail.com,5411856032650,"San Isidro, Buenos Aires, Argentina",42670467,1999-12-10,
,Emiliano,Vega,emilianovega@gmail.com,5411778608265,"Flores, Buenos Aires, Argentina",29810031,1999-02-27,
,Santiago,Cabrera,santiagocabrera@gmail.com,5411746339643,"San Fernando, Buenos Aires, Argentina",43281149,1999-08-15,
,Micaela,Gonzalez,micaelagonzalez@gmail.com,5411595962238,"San Miguel, Buenos Aires, Argentina",45993905,1999-09-29,
,Diego,Ramirez,diegoramirez@gmail.com,5411850038910,"Moreno, Buenos Aires, Argentina",29023368,1999-10-21,
,Luciano,Fernandez,lucianofernandez@gmail.com,5411229120600,"La Plata, Buenos Aires, Argentina",26443403,1992-07-19,
,Carla,Martinez,carlamartinez@gmail.com,5411955135947,"Mar del Plata, Buenos Aires, Argentina",47507310,1998-05-14,
,Sofía,Lopez,sofialopez@gmail.com,5411046356481,"Bahía Blanca, Buenos Aires, Argentina",38886616,1995-09-27,
,Roberto,Pereyra,robertopereyra@gmail.com,5411269210417,"Pergamino, Buenos Aires, Argentina",35034484,1999-02-15,
,Julieta,Castro,julietacastro@gmail.com,5411731016541,"Necochea, Buenos Aires, Argentina",46745738,1997-06-30,
,Eduardo,Vega,eduardovega@gmail.com,5411909579339,"Quilmes, Buenos Aires, Argentina",28879085,1999-12-10,
,Gabriel,Diaz,gabrieldiaz@gmail.com,5411753400780,"Zarate, Buenos Aires, Argentina",30750269,1998-10-21,
,Carlos,Mendez,carlosmendez@gmail.com,5411837299296,"San Nicolás, Buenos Aires, Argentina",31813492,1995-08-23,
