id_user,email,category,hourly_price,employees,attention_hours,location,username,description,coordinates
789ab4c5-85f2-4729-b14d-efb499687fad,MaribelGonzalez3@whatthefish.info,Gasista,3600,2,Lunes a Miércoles 8 a 17,"Avellaneda, Provincia de Buenos Aires, Argentina",Maribel Gonzalez,"Soy Maribel Gonzalez de Avellaneda, Provincia de Buenos Aires, Argentina",010100000066DCD440F34741C0596DFE5F753A4DC0
52a444e8-cdb1-41ca-9594-91452e95c9ef,PabloEscrig89@whatthefish.info,Paseador de perros,4000,2,Miércoles a Viernes 13 a 18,"Palermo, Cdad. Autónoma de Buenos Aires, Argentina",Pablo Escrig,"Soy Pablo Escrig de Palermo, Cdad. Autónoma de Buenos Aires, Argentina",0101000000FCA886FD9E5441C0A4E194B9F92E4DC0
46aab454-9176-448d-b30e-abc88a7a2cd6,VictorinoMateos970@whatthefish.info,Respostero,5900,1,Lunes a Jueves 8 a 17,"San Martín, Provincia de Buenos Aires, Argentina",Victorino Mateos,"Soy Victorino Mateos de San Martín, Provincia de Buenos Aires, Argentina",0101000000F2D077B7B20043C0607825C973C54CC0
3e7de143-f80b-4ce2-8df0-7a7c7eca89f5,SilviuParent612@whatthefish.info,Herrero,2900,3,Jueves y Viernes 8 a 17,"Campana, Provincia de Buenos Aires, Argentina",Silviu Parent,"Soy Silviu Parent de Campana, Provincia de Buenos Aires, Argentina",0101000000342BDB87BC4541C01EA8531EDD3A4DC0
974096fe-e2c0-490f-8012-7279e048a649,AngelGonzalez132@whatthefish.info,Electricista,2900,1,Lunes y Martes 8 a 17,"San Fernando, Provincia de Buenos Aires, Argentina",Angel Gonzalez,"Soy Angel Gonzalez de San Fernando, Provincia de Buenos Aires, Argentina",0101000000CA8B4CC0AF3B41C0F08AE07F2B754DC0
3598a8b6-0a83-4a64-94e9-aee045c534ee,AntoniaTejero905@whatthefish.info,Carpintero,6800,3,Jueves y Viernes 10 a 17,"Belgrano, Cdad. Autónoma de Buenos Aires, Argentina",Antonia Tejero,"Soy Antonia Tejero de Belgrano, Cdad. Autónoma de Buenos Aires, Argentina",010100000082E2C798BB5641C0BA8102EFE4474DC0
6d63af0d-1e74-4956-8eaf-cf85e92daf73,DanielArrizabalaga558@whatthefish.info,Técnico de aires acondicionados,3100,3,Lunes a Viernes 10 a 15,"Los Cardales, Provincia de Buenos Aires, Argentina",Daniel Arrizabalaga,"Soy Daniel Arrizabalaga de Los Cardales, Provincia de Buenos Aires, Argentina",0101000000448655BC915541C025E99AC9375D4DC0
c5d3dd67-e87b-4a97-bd34-6d3900df0c47,IñigoSalvo828@whatthefish.info,Albañil,2700,3,Miércoles a Viernes 13 a 18,"Tigre, Provincia de Buenos Aires, Argentina",Iñigo Salvo,"Soy Iñigo Salvo de Tigre, Provincia de Buenos Aires, Argentina",010100000066DCD440F34741C0596DFE5F753A4DC0
1949cde9-6f19-401d-9c25-bec17d3054e8,ManuelPeña456@whatthefish.info,Electricista,6500,1,Lunes y Viernes 7 a 19,"Avellaneda, Provincia de Buenos Aires, Argentina",Manuel Peña,"Soy Manuel Peña de Avellaneda, Provincia de Buenos Aires, Argentina",010100000048C2BE9D443C41C09DD7D825AA434DC0
faf5278b-e9a3-4a94-98f8-2a4a658691c3,GerardVelasco346@whatthefish.info,Pintor,4100,2,Lunes a Viernes 9 a 15,"Lanús, Provincia de Buenos Aires, Argentina",Gerard Velasco,"Soy Gerard Velasco de Lanús, Provincia de Buenos Aires, Argentina",0101000000CA8B4CC0AF3B41C0F08AE07F2B754DC0
1064a221-6ada-4a79-8216-b3dfcb1f4b98,EugenioLopez248@whatthefish.info,Albañil,5800,1,Lunes a Viernes 9 a 15,"Los Cardales, Provincia de Buenos Aires, Argentina",Eugenio Lopez,"Soy Eugenio Lopez de Los Cardales, Provincia de Buenos Aires, Argentina",0101000000CBBC55D7A15241C0A33A1DC87A424DC0
